Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population 1 an et +,4710,Soupes - sauces - épices et autres ingrédients,Soupes,,3.621294,0.2,3.2,4,mg,0.443380145,0,,2
Calcium,Population 1 an et +,17547,Soupes - sauces - épices et autres ingrédients,Épices - assaisonnements et autres ingrédients ,,21.2052004,0.9,19.4,23,mg,2.596299772,0.1,,2
Calcium,Population 1 an et +,16725,Confiserie - sucres et grignotines salées,,,34.8323678,1,32.8,36.9,mg,4.26476839,0.1,,1
Calcium,Population 1 an et +,6211,Confiserie - sucres et grignotines salées,Confiserie,,7.647429,0.6,6.6,8.7,mg,0.93632777,0.1,,2
Calcium,Population 1 an et +,2559,Confiserie - sucres et grignotines salées,Confiserie,Bonbons,1.2103622,0.4,0.4,2,mg,0.148193039,0.1,F,3
Calcium,Population 1 an et +,3815,Confiserie - sucres et grignotines salées,Confiserie,Chocolat - bonbons et barres,5.4603668,0.4,4.7,6.2,mg,0.668550582,0,,3
Calcium,Population 1 an et +,703,Confiserie - sucres et grignotines salées,Confiserie,Gélatine - garnitures à dessert et poudings,0.9766999,0.1,0.8,1.2,mg,0.119584149,0,,3
Calcium,Population 1 an et +,2912,Confiserie - sucres et grignotines salées,Desserts glacés,,17.8457937,0.8,16.2,19.5,mg,2.1849843,0.1,,2
Calcium,Population 1 an et +,2447,Confiserie - sucres et grignotines salées,Desserts glacés,Produits laitiers glacés et analogues,17.5895732,0.8,16,19.2,mg,2.153613452,0.1,,3
Calcium,Population 1 an et +,560,Confiserie - sucres et grignotines salées,Desserts glacés,Popsicles et sorbet,0.2562205,0,0.2,0.3,mg,0.031370848,0,E,3
Calcium,Population 1 an et +,4652,Confiserie - sucres et grignotines salées,Grignotines salées,,5.0681587,0.3,4.4,5.7,mg,0.620529817,0,,2
Calcium,Population 1 an et +,14214,Confiserie - sucres et grignotines salées,Sucres - sirops et confitures,,4.2709865,0.3,3.8,4.8,mg,0.522926503,0,,2
Calcium,Population 1 an et +,2044,Confiserie - sucres et grignotines salées,Sucres - sirops et confitures,Confitures - gelées et marmelades,0.4028548,0,0.3,0.5,mg,0.04932431,0,,3
Calcium,Population 1 an et +,4750,Confiserie - sucres et grignotines salées,Sucres - sirops et confitures,Autres sucres et sirops,3.1649336,0.3,2.7,3.7,mg,0.387504777,0,,3
Calcium,Population 1 an et +,715,Confiserie - sucres et grignotines salées,Sucres - sirops et confitures,Édulcorants,0,0,0,0,mg,0,0,,3
Calcium,Population 1 an et +,12217,Confiserie - sucres et grignotines salées,Sucres - sirops et confitures,Sucres,0.7031981,0,0.6,0.8,mg,0.086097415,0,,3
Calcium,Enfants 1 à 8 ans,122,Aliments pour bébés,,,11.6515531,3.2,5.4,17.9,mg,1.26092671,0.3,E,1
Calcium,Enfants 1 à 8 ans,95,Aliments pour bébés,Produits alimentaires pour bébés,,7.1866079,2.5,2.4,12,mg,0.777732005,0.3,F,2
Calcium,Enfants 1 à 8 ans,46,Aliments pour bébés,Préparation pour nourrissons,,4.4649453,1.3,1.8,7.1,mg,0.483194705,0.1,E,2
Calcium,Enfants 1 à 8 ans,2443,Boissons (excluant laits),,,38.2208706,1.9,34.5,41.9,mg,4.136248276,0.2,,1
Calcium,Enfants 1 à 8 ans,20,Boissons (excluant laits),Alcool,,0.0171722,0,0,0,mg,0.001858368,0,F,2
Calcium,Enfants 1 à 8 ans,141,Boissons (excluant laits),Café et thé,,0.2628571,0.1,0.1,0.4,mg,0.028446296,0,E,2
Calcium,Enfants 1 à 8 ans,8,Boissons (excluant laits),Café et thé,Café,0.0144293,0,0,0,mg,0.001561531,0,<10,3
Calcium,Enfants 1 à 8 ans,133,Boissons (excluant laits),Café et thé,Thé,0.2484278,0.1,0.1,0.4,mg,0.026884764,0,E,3
Calcium,Enfants 1 à 8 ans,1,Boissons (excluant laits),Boissons énergisantes,,0.0031114,0,0,0,mg,0.000336718,0,<10,2
Calcium,Enfants 1 à 8 ans,357,Boissons (excluant laits),Boissons aux fruits,,3.2136572,0.4,2.4,4,mg,0.347780776,0,,2
